Date,AAPL,AMZN,GOOG,KOD.L,MSFT,ORCL,PREM.L,TOM.L,UKOG.L,VELA.L
2020-01-14,-0.013502883004509858,-0.011558211718052602,-0.0058017513464304615,0.0,-0.007043128033255797,0.005496244727560162,0.0897435787220211,0.0,0.0,0.0
2020-01-15,-0.004285820710706045,-0.003969126548924895,0.005814524689094602,0.0,0.00647614148426312,-0.002186660308016397,0.03529410114750342,0.0,-0.03125,0.0
2020-01-16,0.012526782876106868,0.00854991102959346,0.008685412439780826,0.0,0.018323435964661794,0.01223518293256709,-0.03409089369714746,-0.07407409042651403,0.0,-0.08602151743648123
2020-01-17,0.011070896274279374,-0.00703966144232826,0.019763077255118944,0.0,0.005596453230724441,-0.0054121120881310825,0.03529410114750342,0.039999961853027344,-0.032258064516129004,0.0
2020-01-21,-0.006776906746350009,0.014629525206926841,0.0027087613938712174,0.16279067551206494,-0.003590517726134612,0.0016324836496139916,0.056818212605705076,0.0,0.0,0.0
2020-01-22,0.003569426727018543,-0.0023995494624704516,0.0010442226540194888,0.0,-0.0048049593151239245,-0.009054663193623358,-0.03225804901023843,0.0,-0.033333333333333326,0.0
2020-01-23,0.004815859868534611,-0.0015259112256781338,0.0004709661721591374,-0.04000000596046438,0.006156000668542383,0.004751366450001848,-0.022222266373809196,0.0,-0.03448275862068961,0.0
2020-01-24,-0.0028818793332097137,-0.012172426638861644,-0.013412612058042228,0.0,-0.010076820566474076,-0.01655151603733629,-0.03409089369714746,0.0,0.03571428571428581,0.0
2020-01-27,-0.029405246580003874,-0.01788746376771211,-0.022369815585325914,0.041666673134184595,-0.01672326666316748,-0.025522394178522867,-0.02352945920092786,-0.03846150319251662,-0.03448275862068961,0.05882356034843128
2020-01-28,0.028289330572176086,0.01362436592451366,0.013013529144835223,-0.04000000596046438,0.01959577279614888,0.01461391802534373,0.0,0.039999961853027344,0.0,0.0
2020-01-29,0.02093233338389955,0.0025630978623367717,0.004178730801052799,0.4583333268658154,0.015592571116844978,-0.004863428068674902,0.0,0.0,-0.05714287076677593,0.0
2020-01-30,-0.0014490033322224205,0.006824489189870775,-0.0019127452624148056,-0.2142857218883475,0.028207741125040098,0.002067401430081439,-0.036144563171994104,-0.03846150319251662,-0.05303028934695919,-0.055555583150297405
2020-01-31,-0.04433882051617,0.07379135586484753,-0.014843637745226235,-0.03636364252114099,-0.014758672688011898,-0.016131943817650374,-0.024999958090483165,0.0,0.08000000000000007,0.0
2020-02-03,-0.002746296344322885,-0.0022501685803328897,0.036054149825992976,-0.07547171137518816,0.02437891819270943,0.012202051565529226,-0.03846152009225734,0.08000001907348642,0.11111111111111116,0.0
2020-02-04,0.03301388035627317,0.022687342140775613,-0.02615848418351896,0.0,0.03291657201887821,0.017894236835223287,0.10666658057107203,-0.07407409042651403,-0.06666666666666665,0.0
2020-02-05,0.008154222976475056,-0.004781236737139594,0.0008016242017490072,0.08163266857680296,-0.001221538039679393,0.01295343530260884,0.06024099846401332,0.08000001907348642,-0.0357142857142857,0.0
2020-02-06,0.011697026565082425,0.0050787328892443195,0.01933396354500405,0.03773585568759397,0.02073399301864387,-0.000548288532896235,0.0,-0.037037089364844955,-0.07407407407407407,0.0
